Cast-off Reconstruction Results:
High Percentile Faces(x) High Percentile Faces(y)             High Percentile Faces(z)
      49.000                   98.000                               99.000
      51.000                   52.000                              101.000
      51.000                  100.000                              101.000
      54.000                  102.000                              105.000
      56.000                  105.000                              110.000
      57.000                  108.000                              113.000
      59.000                   60.000                              115.000
      59.000                  114.000                              115.000
      60.000                   61.000                              116.000
      60.000                  115.000                              116.000
      61.000                  110.000                              116.000
      62.000                  120.000                              126.000
      63.000                   64.000                              125.000
      63.000                  125.000                              130.000
      64.000                  125.000                              126.000
      65.000                   66.000                              127.000
      66.000                   67.000                              128.000
      66.000                  127.000                              128.000
      67.000                   68.000                              129.000
      67.000                  128.000                              129.000
      68.000                  129.000                              130.000
      69.000                   70.000                               72.000
      69.000                   71.000                               72.000
      70.000                   72.000                               73.000
      71.000                   72.000                               76.000
      71.000                   74.000                               75.000
      71.000                   75.000                               76.000
      72.000                   73.000                               77.000
      72.000                   76.000                               77.000
      74.000                   75.000                               81.000
      74.000                   79.000                               80.000
      74.000                   80.000                               81.000
      75.000                   76.000                               82.000
      75.000                   81.000                               82.000
      76.000                   77.000                               82.000
      79.000                   80.000                               87.000
      79.000                   85.000                               86.000
      79.000                   86.000                               87.000
      80.000                   81.000                               88.000
      80.000                   87.000                               88.000
      81.000                   82.000                               89.000
      81.000                   88.000                               89.000
      83.000                   84.000                               91.000
      83.000                   90.000                               91.000
      84.000                   85.000                               92.000
      84.000                   91.000                               92.000
      85.000                   86.000                               93.000
      85.000                   92.000                               93.000
      86.000                   87.000                               94.000
      86.000                   93.000                               94.000
      87.000                   88.000                               95.000
      87.000                   94.000                               95.000
      88.000                   89.000                               95.000
      90.000                   91.000                               97.000
      90.000                   96.000                               97.000
      91.000                   92.000                               98.000
      91.000                   97.000                               98.000
      92.000                   93.000                               99.000
      92.000                   98.000                               99.000
      93.000                   94.000                               99.000
     100.000                  101.000                              103.000
     100.000                  102.000                              103.000
     101.000                  103.000                              104.000
     102.000                  103.000                              107.000
     102.000                  105.000                              106.000
     102.000                  106.000                              107.000
     103.000                  104.000                              108.000
     103.000                  107.000                              108.000
     105.000                  106.000                              112.000
     105.000                  110.000                              111.000
     105.000                  111.000                              112.000
